Customer_ID,Customer_Name,Customer_Location,Customer_Segment,Customer_Age,Customer_Gender,Customer_Acquisition_Date,Customer_Feedback
81,Customer_81,Chennai,Premium,66,Other,2020-03-21,1.2
82,Customer_82,Chennai,Regular,39,Female,2020-03-22,1.65
83,Customer_83,Hyderabad,Regular,36,Female,2020-03-23,4.14
84,Customer_84,Bangalore,First-time buyer,31,Other,2020-03-24,1.57
85,Customer_85,Chennai,Premium,58,Male,2020-03-25,4.47
86,Customer_86,Hyderabad,Regular,19,Female,2020-03-26,3.71
87,Customer_87,Mumbai,Premium,43,Male,2020-03-27,1.39
88,Customer_88,Mumbai,Premium,51,Other,2020-03-28,1.29
89,Customer_89,Bangalore,Premium,61,Female,2020-03-29,1.65
90,Customer_90,Chennai,First-time buyer,56,Female,2020-03-30,2.7
91,Customer_91,Mumbai,Premium,52,Male,2020-03-31,2.37
92,Customer_92,Chennai,Regular,37,Other,2020-04-01,3.28
93,Customer_93,Chennai,Premium,33,Male,2020-04-02,4.87
94,Customer_94,Hyderabad,Regular,65,Female,2020-04-03,1.18
95,Customer_95,Chennai,Regular,32,Female,2020-04-04,2.02
96,Customer_96,Chennai,First-time buyer,23,Other,2020-04-05,1.36
97,Customer_97,Bangalore,Regular,43,Female,2020-04-06,2.03
98,Customer_98,Bangalore,Premium,54,Male,2020-04-07,4.8
99,Customer_99,Bangalore,First-time buyer,46,Female,2020-04-08,4.76
100,Customer_100,Mumbai,Premium,45,Male,2020-04-09,2.99
101,Customer_101,Bangalore,Regular,22,Other,2020-04-10,4.8
102,Customer_102,Delhi,Premium,30,Other,2020-04-11,2.78
103,Customer_103,Chennai,Premium,54,Other,2020-04-12,1.32
104,Customer_104,Hyderabad,First-time buyer,23,Other,2020-04-13,2.78
105,Customer_105,Chennai,Regular,53,Other,2020-04-14,2.23
106,Customer_106,Bangalore,Regular,45,Male,2020-04-15,4.81
107,Customer_107,Delhi,Premium,43,Male,2020-04-16,3.99
108,Customer_108,Chennai,Regular,41,Male,2020-04-17,2.17
109,Customer_109,Chennai,Premium,50,Female,2020-04-18,1.18
110,Customer_110,Delhi,First-time buyer,45,Male,2020-04-19,2.65
111,Customer_111,Delhi,Premium,38,Other,2020-04-20,3.92
112,Customer_112,Bangalore,First-time buyer,28,Other,2020-04-21,3.64
113,Customer_113,Hyderabad,First-time buyer,48,Male,2020-04-22,4.36
114,Customer_114,Mumbai,Premium,22,Female,2020-04-23,2.15
115,Customer_115,Mumbai,Premium,42,Male,2020-04-24,4.58
116,Customer_116,Delhi,First-time buyer,46,Female,2020-04-25,4.32
117,Customer_117,Delhi,Premium,51,Male,2020-04-26,1.68
118,Customer_118,Delhi,First-time buyer,41,Other,2020-04-27,3.61
119,Customer_119,Bangalore,First-time buyer,19,Other,2020-04-28,1.66
120,Customer_120,Hyderabad,First-time buyer,45,Other,2020-04-29,2.0
121,Customer_121,Delhi,First-time buyer,52,Female,2020-04-30,4.16
122,Customer_122,Mumbai,First-time buyer,25,Female,2020-05-01,1.61
123,Customer_123,Mumbai,Regular,39,Other,2020-05-02,3.32
124,Customer_124,Chennai,Premium,25,Male,2020-05-03,4.83
125,Customer_125,Delhi,Regular,18,Male,2020-05-04,2.63
126,Customer_126,Bangalore,Premium,57,Female,2020-05-05,4.21
127,Customer_127,Mumbai,Regular,38,Female,2020-05-06,2.72
128,Customer_128,Mumbai,First-time buyer,65,Female,2020-05-07,4.29
129,Customer_129,Chennai,First-time buyer,62,Male,2020-05-08,4.24
130,Customer_130,Chennai,Premium,18,Other,2020-05-09,2.17
131,Customer_131,Bangalore,Premium,35,Other,2020-05-10,3.81
132,Customer_132,Hyderabad,Premium,40,Other,2020-05-11,1.68
133,Customer_133,Mumbai,Regular,25,Other,2020-05-12,1.71
134,Customer_134,Bangalore,First-time buyer,50,Male,2020-05-13,3.07
135,Customer_135,Delhi,Premium,47,Other,2020-05-14,3.97
136,Customer_136,Chennai,First-time buyer,18,Male,2020-05-15,3.07
137,Customer_137,Delhi,Premium,66,Male,2020-05-16,2.97
138,Customer_138,Mumbai,Regular,62,Male,2020-05-17,4.34
139,Customer_139,Bangalore,First-time buyer,27,Other,2020-05-18,2.0
140,Customer_140,Chennai,First-time buyer,33,Female,2020-05-19,2.68
141,Customer_141,Mumbai,Premium,46,Other,2020-05-20,3.72
142,Customer_142,Mumbai,Premium,52,Female,2020-05-21,1.35
143,Customer_143,Mumbai,First-time buyer,44,Male,2020-05-22,2.46
144,Customer_144,Chennai,First-time buyer,32,Male,2020-05-23,2.96
145,Customer_145,Chennai,Premium,60,Female,2020-05-24,4.31
146,Customer_146,Mumbai,First-time buyer,67,Other,2020-05-25,2.49
147,Customer_147,Bangalore,Regular,21,Other,2020-05-26,2.08
148,Customer_148,Delhi,First-time buyer,22,Male,2020-05-27,1.28
149,Customer_149,Bangalore,Regular,28,Other,2020-05-28,3.12
150,Customer_150,Mumbai,Premium,48,Other,2020-05-29,4.2
151,Customer_151,Chennai,First-time buyer,43,Female,2020-05-30,4.09
152,Customer_152,Delhi,First-time buyer,31,Female,2020-05-31,1.95
153,Customer_153,Bangalore,Premium,29,Other,2020-06-01,4.01
154,Customer_154,Hyderabad,Premium,62,Female,2020-06-02,1.86
155,Customer_155,Hyderabad,First-time buyer,41,Other,2020-06-03,2.51
156,Customer_156,Hyderabad,Premium,58,Other,2020-06-04,4.61
157,Customer_157,Bangalore,Regular,64,Female,2020-06-05,2.94
158,Customer_158,Bangalore,Premium,27,Other,2020-06-06,1.54
159,Customer_159,Hyderabad,First-time buyer,60,Male,2020-06-07,3.87
160,Customer_160,Bangalore,Premium,43,Female,2020-06-08,4.65
161,Customer_161,Delhi,Regular,41,Male,2020-06-09,1.6
162,Customer_162,Mumbai,Regular,63,Other,2020-06-10,4.89
163,Customer_163,Mumbai,First-time buyer,31,Female,2020-06-11,1.46
164,Customer_164,Delhi,Regular,49,Other,2020-06-12,3.69
165,Customer_165,Bangalore,First-time buyer,30,Other,2020-06-13,4.78
166,Customer_166,Bangalore,Regular,44,Other,2020-06-14,2.54
167,Customer_167,Delhi,First-time buyer,57,Female,2020-06-15,2.5
168,Customer_168,Chennai,Premium,23,Other,2020-06-16,4.89
169,Customer_169,Bangalore,First-time buyer,18,Male,2020-06-17,2.6
170,Customer_170,Bangalore,First-time buyer,19,Female,2020-06-18,1.79
171,Customer_171,Mumbai,First-time buyer,52,Male,2020-06-19,2.96
172,Customer_172,Bangalore,Regular,69,Male,2020-06-20,3.12
173,Customer_173,Hyderabad,First-time buyer,65,Female,2020-06-21,4.95
174,Customer_174,Bangalore,Regular,24,Other,2020-06-22,4.53
175,Customer_175,Hyderabad,Regular,30,Male,2020-06-23,4.68
176,Customer_176,Delhi,Regular,59,Male,2020-06-24,1.31
177,Customer_177,Hyderabad,Regular,42,Female,2020-06-25,3.42
178,Customer_178,Mumbai,First-time buyer,59,Male,2020-06-26,1.18
179,Customer_179,Hyderabad,Regular,52,Female,2020-06-27,2.89
180,Customer_180,Delhi,Premium,22,Female,2020-06-28,3.15
181,Customer_181,Delhi,Regular,55,Other,2020-06-29,1.35
182,Customer_182,Bangalore,Premium,18,Other,2020-06-30,3.03
183,Customer_183,Hyderabad,Regular,69,Female,2020-07-01,4.53
184,Customer_184,Hyderabad,Regular,33,Male,2020-07-02,3.25
185,Customer_185,Chennai,First-time buyer,48,Other,2020-07-03,1.38
186,Customer_186,Bangalore,Premium,53,Other,2020-07-04,4.44
187,Customer_187,Delhi,Regular,21,Other,2020-07-05,1.5
188,Customer_188,Mumbai,Regular,55,Female,2020-07-06,2.04
189,Customer_189,Mumbai,Premium,35,Other,2020-07-07,3.48
190,Customer_190,Hyderabad,Regular,46,Male,2020-07-08,2.37
191,Customer_191,Hyderabad,Regular,32,Female,2020-07-09,3.28
192,Customer_192,Chennai,Premium,30,Male,2020-07-10,3.48
193,Customer_193,Mumbai,First-time buyer,59,Other,2020-07-11,1.69
194,Customer_194,Mumbai,Premium,43,Male,2020-07-12,3.88
195,Customer_195,Mumbai,Regular,62,Female,2020-07-13,2.38
196,Customer_196,Chennai,First-time buyer,49,Female,2020-07-14,3.04
197,Customer_197,Mumbai,First-time buyer,31,Female,2020-07-15,2.8
198,Customer_198,Delhi,Regular,35,Other,2020-07-16,1.91
199,Customer_199,Chennai,Regular,38,Male,2020-07-17,3.03
200,Customer_200,Mumbai,Regular,31,Male,2020-07-18,4.93
201,Customer_201,Delhi,Regular,59,Other,2020-07-19,4.99
202,Customer_202,Delhi,Regular,18,Male,2020-07-20,2.37
203,Customer_203,Delhi,First-time buyer,22,Male,2020-07-21,2.85
204,Customer_204,Mumbai,First-time buyer,69,Male,2020-07-22,4.98
205,Customer_205,Hyderabad,Regular,43,Female,2020-07-23,1.5
206,Customer_206,Delhi,First-time buyer,64,Other,2020-07-24,2.68
207,Customer_207,Bangalore,Regular,41,Male,2020-07-25,4.3
208,Customer_208,Chennai,First-time buyer,35,Male,2020-07-26,4.71
209,Customer_209,Mumbai,Regular,33,Female,2020-07-27,2.17
210,Customer_210,Mumbai,Premium,26,Male,2020-07-28,4.57
211,Customer_211,Hyderabad,Regular,30,Other,2020-07-29,2.91
212,Customer_212,Chennai,First-time buyer,56,Female,2020-07-30,2.78
213,Customer_213,Delhi,Regular,21,Male,2020-07-31,3.97
214,Customer_214,Chennai,Regular,55,Male,2020-08-01,2.87
215,Customer_215,Bangalore,Regular,54,Other,2020-08-02,4.9
216,Customer_216,Bangalore,Premium,55,Other,2020-08-03,1.56
217,Customer_217,Hyderabad,First-time buyer,20,Other,2020-08-04,1.73
218,Customer_218,Bangalore,Premium,28,Male,2020-08-05,4.79
219,Customer_219,Delhi,Regular,68,Other,2020-08-06,3.11
220,Customer_220,Chennai,Regular,52,Other,2020-08-07,4.96
221,Customer_221,Delhi,Regular,40,Other,2020-08-08,3.32
222,Customer_222,Chennai,Premium,18,Other,2020-08-09,2.1
223,Customer_223,Delhi,Regular,66,Other,2020-08-10,2.06
224,Customer_224,Bangalore,First-time buyer,67,Other,2020-08-11,1.23
225,Customer_225,Bangalore,Premium,58,Female,2020-08-12,3.19
226,Customer_226,Delhi,First-time buyer,57,Other,2020-08-13,3.47
227,Customer_227,Hyderabad,Premium,40,Female,2020-08-14,2.45
228,Customer_228,Hyderabad,Regular,62,Other,2020-08-15,4.3
229,Customer_229,Mumbai,First-time buyer,37,Female,2020-08-16,4.31
230,Customer_230,Chennai,First-time buyer,19,Other,2020-08-17,3.78
231,Customer_231,Mumbai,First-time buyer,68,Other,2020-08-18,4.13
232,Customer_232,Delhi,First-time buyer,39,Male,2020-08-19,3.62
233,Customer_233,Chennai,Premium,52,Male,2020-08-20,4.45
234,Customer_234,Mumbai,First-time buyer,30,Male,2020-08-21,2.32
235,Customer_235,Chennai,Regular,61,Male,2020-08-22,3.82
236,Customer_236,Hyderabad,Regular,49,Female,2020-08-23,4.94
237,Customer_237,Hyderabad,Regular,53,Female,2020-08-24,4.05
238,Customer_238,Chennai,Regular,43,Male,2020-08-25,1.4
239,Customer_239,Bangalore,Regular,27,Other,2020-08-26,2.24
240,Customer_240,Chennai,Regular,23,Female,2020-08-27,1.48
241,Customer_241,Delhi,First-time buyer,39,Other,2020-08-28,3.18
242,Customer_242,Chennai,First-time buyer,24,Female,2020-08-29,3.61
243,Customer_243,Delhi,First-time buyer,32,Male,2020-08-30,4.17
244,Customer_244,Mumbai,Regular,47,Other,2020-08-31,4.03
245,Customer_245,Chennai,Regular,57,Male,2020-09-01,1.66
246,Customer_246,Bangalore,Premium,31,Female,2020-09-02,3.4
247,Customer_247,Chennai,Premium,33,Female,2020-09-03,1.14
248,Customer_248,Hyderabad,Regular,60,Male,2020-09-04,1.9
249,Customer_249,Chennai,Premium,50,Other,2020-09-05,4.8
250,Customer_250,Bangalore,Premium,49,Other,2020-09-06,2.85
251,Customer_251,Chennai,First-time buyer,47,Female,2020-09-07,3.15
252,Customer_252,Delhi,First-time buyer,46,Male,2020-09-08,4.97
253,Customer_253,Chennai,First-time buyer,41,Other,2020-09-09,1.87
254,Customer_254,Chennai,Premium,39,Other,2020-09-10,4.07
255,Customer_255,Mumbai,Premium,42,Male,2020-09-11,2.95
256,Customer_256,Chennai,Premium,21,Male,2020-09-12,4.51
257,Customer_257,Chennai,Premium,44,Other,2020-09-13,1.33
258,Customer_258,Hyderabad,Regular,32,Male,2020-09-14,1.52
259,Customer_259,Hyderabad,Regular,30,Female,2020-09-15,2.37
260,Customer_260,Bangalore,First-time buyer,38,Female,2020-09-16,3.96
261,Customer_261,Bangalore,First-time buyer,50,Female,2020-09-17,2.33
262,Customer_262,Hyderabad,Premium,20,Female,2020-09-18,3.86
263,Customer_263,Delhi,Premium,37,Male,2020-09-19,4.55
264,Customer_264,Chennai,Regular,19,Female,2020-09-20,3.63
265,Customer_265,Hyderabad,Regular,49,Other,2020-09-21,2.15
266,Customer_266,Bangalore,Premium,65,Other,2020-09-22,2.6
267,Customer_267,Chennai,Regular,24,Male,2020-09-23,3.3
268,Customer_268,Hyderabad,Regular,35,Male,2020-09-24,2.68
269,Customer_269,Bangalore,Regular,38,Other,2020-09-25,4.03
270,Customer_270,Delhi,Premium,27,Other,2020-09-26,1.55
271,Customer_271,Hyderabad,Premium,45,Male,2020-09-27,2.7
272,Customer_272,Hyderabad,First-time buyer,20,Female,2020-09-28,1.9
273,Customer_273,Delhi,Regular,49,Male,2020-09-29,1.09
274,Customer_274,Chennai,First-time buyer,29,Male,2020-09-30,1.78
275,Customer_275,Bangalore,Premium,27,Male,2020-10-01,4.05
276,Customer_276,Hyderabad,Regular,22,Female,2020-10-02,1.36
277,Customer_277,Mumbai,Regular,39,Female,2020-10-03,2.09
278,Customer_278,Bangalore,Premium,58,Male,2020-10-04,3.71
279,Customer_279,Delhi,Premium,31,Female,2020-10-05,4.15
280,Customer_280,Chennai,Regular,67,Female,2020-10-06,2.9
281,Customer_281,Mumbai,First-time buyer,22,Other,2020-10-07,4.19
282,Customer_282,Chennai,First-time buyer,50,Male,2020-10-08,3.62
283,Customer_283,Delhi,Regular,46,Male,2020-10-09,3.5
284,Customer_284,Mumbai,First-time buyer,46,Male,2020-10-10,4.87
285,Customer_285,Mumbai,Premium,67,Other,2020-10-11,4.76
286,Customer_286,Delhi,First-time buyer,65,Other,2020-10-12,3.92
287,Customer_287,Hyderabad,First-time buyer,30,Female,2020-10-13,3.65
288,Customer_288,Mumbai,First-time buyer,65,Male,2020-10-14,4.75
289,Customer_289,Mumbai,Premium,21,Male,2020-10-15,4.86
290,Customer_290,Chennai,First-time buyer,30,Other,2020-10-16,3.19
291,Customer_291,Bangalore,First-time buyer,20,Male,2020-10-17,2.66
292,Customer_292,Chennai,First-time buyer,45,Female,2020-10-18,3.52
293,Customer_293,Mumbai,Premium,53,Male,2020-10-19,3.99
294,Customer_294,Bangalore,Regular,21,Female,2020-10-20,4.13
295,Customer_295,Hyderabad,Regular,23,Female,2020-10-21,1.86
296,Customer_296,Chennai,Premium,49,Female,2020-10-22,3.83
297,Customer_297,Bangalore,Premium,54,Male,2020-10-23,4.99
298,Customer_298,Bangalore,Premium,55,Female,2020-10-24,3.35
299,Customer_299,Mumbai,Regular,25,Female,2020-10-25,3.43
300,Customer_300,Hyderabad,First-time buyer,42,Female,2020-10-26,2.52
301,Customer_301,Mumbai,Regular,42,Other,2020-10-27,4.99
302,Customer_302,Chennai,Regular,55,Other,2020-10-28,3.76
303,Customer_303,Delhi,First-time buyer,68,Other,2020-10-29,3.08
304,Customer_304,Hyderabad,Regular,57,Female,2020-10-30,1.94
305,Customer_305,Hyderabad,First-time buyer,54,Other,2020-10-31,2.9
306,Customer_306,Hyderabad,Premium,28,Male,2020-11-01,2.22
307,Customer_307,Mumbai,Regular,58,Other,2020-11-02,4.95
308,Customer_308,Delhi,Premium,19,Male,2020-11-03,2.27
309,Customer_309,Chennai,First-time buyer,41,Female,2020-11-04,3.84
310,Customer_310,Hyderabad,First-time buyer,32,Female,2020-11-05,1.96
311,Customer_311,Mumbai,Premium,59,Male,2020-11-06,3.68
312,Customer_312,Hyderabad,Regular,27,Female,2020-11-07,1.33
313,Customer_313,Bangalore,Regular,22,Other,2020-11-08,2.21
314,Customer_314,Mumbai,First-time buyer,67,Other,2020-11-09,4.36
315,Customer_315,Mumbai,First-time buyer,66,Male,2020-11-10,2.19
316,Customer_316,Bangalore,Regular,50,Other,2020-11-11,1.36
317,Customer_317,Delhi,Regular,65,Female,2020-11-12,4.7
318,Customer_318,Hyderabad,First-time buyer,34,Female,2020-11-13,2.71
319,Customer_319,Mumbai,First-time buyer,67,Other,2020-11-14,1.94
320,Customer_320,Chennai,Premium,54,Female,2020-11-15,4.81
321,Customer_321,Chennai,First-time buyer,68,Female,2020-11-16,4.47
322,Customer_322,Hyderabad,First-time buyer,56,Male,2020-11-17,1.88
323,Customer_323,Chennai,First-time buyer,51,Other,2020-11-18,2.33
324,Customer_324,Hyderabad,First-time buyer,48,Male,2020-11-19,1.45
325,Customer_325,Hyderabad,Regular,60,Other,2020-11-20,2.49
326,Customer_326,Delhi,Premium,63,Other,2020-11-21,2.07
327,Customer_327,Delhi,First-time buyer,69,Other,2020-11-22,4.74
328,Customer_328,Mumbai,Regular,46,Other,2020-11-23,3.29
329,Customer_329,Bangalore,Regular,35,Other,2020-11-24,2.17
330,Customer_330,Mumbai,Premium,45,Male,2020-11-25,4.52
331,Customer_331,Mumbai,First-time buyer,63,Male,2020-11-26,1.07
332,Customer_332,Bangalore,Regular,64,Male,2020-11-27,2.39
333,Customer_333,Bangalore,Premium,59,Female,2020-11-28,1.04
334,Customer_334,Mumbai,First-time buyer,41,Other,2020-11-29,4.6
335,Customer_335,Hyderabad,First-time buyer,31,Female,2020-11-30,1.43
336,Customer_336,Delhi,First-time buyer,64,Male,2020-12-01,1.91
337,Customer_337,Delhi,First-time buyer,53,Other,2020-12-02,1.97
338,Customer_338,Mumbai,Premium,35,Other,2020-12-03,2.96
339,Customer_339,Chennai,Premium,19,Male,2020-12-04,3.22
340,Customer_340,Chennai,Regular,66,Female,2020-12-05,4.63
341,Customer_341,Mumbai,Premium,63,Other,2020-12-06,4.76
342,Customer_342,Bangalore,Premium,35,Other,2020-12-07,1.0
343,Customer_343,Bangalore,Premium,67,Other,2020-12-08,4.4
344,Customer_344,Chennai,First-time buyer,18,Other,2020-12-09,3.8
345,Customer_345,Chennai,Regular,68,Male,2020-12-10,1.47
346,Customer_346,Hyderabad,Premium,65,Other,2020-12-11,4.36
347,Customer_347,Chennai,Regular,45,Male,2020-12-12,1.99
348,Customer_348,Bangalore,Regular,40,Female,2020-12-13,4.12
349,Customer_349,Mumbai,Premium,29,Other,2020-12-14,4.35
350,Customer_350,Chennai,Premium,57,Other,2020-12-15,2.33
351,Customer_351,Delhi,Premium,67,Male,2020-12-16,2.34
352,Customer_352,Chennai,First-time buyer,28,Male,2020-12-17,3.65
353,Customer_353,Chennai,Regular,48,Male,2020-12-18,4.39
354,Customer_354,Bangalore,Regular,20,Other,2020-12-19,1.83
355,Customer_355,Hyderabad,Premium,24,Female,2020-12-20,4.54
356,Customer_356,Delhi,First-time buyer,42,Female,2020-12-21,3.32
357,Customer_357,Delhi,First-time buyer,68,Other,2020-12-22,3.56
358,Customer_358,Hyderabad,First-time buyer,39,Female,2020-12-23,3.01
359,Customer_359,Mumbai,Regular,69,Female,2020-12-24,2.71
360,Customer_360,Mumbai,Premium,32,Female,2020-12-25,3.33
361,Customer_361,Delhi,First-time buyer,40,Male,2020-12-26,1.36
362,Customer_362,Hyderabad,Regular,69,Other,2020-12-27,3.37
363,Customer_363,Bangalore,First-time buyer,43,Female,2020-12-28,1.13
364,Customer_364,Mumbai,Premium,33,Male,2020-12-29,4.61
365,Customer_365,Hyderabad,Premium,25,Female,2020-12-30,1.75
366,Customer_366,Chennai,First-time buyer,29,Female,2020-12-31,2.36
367,Customer_367,Delhi,Premium,60,Female,2021-01-01,1.5
368,Customer_368,Chennai,Regular,52,Other,2021-01-02,3.97
369,Customer_369,Hyderabad,First-time buyer,21,Other,2021-01-03,1.85
370,Customer_370,Chennai,Premium,30,Other,2021-01-04,4.59
371,Customer_371,Chennai,Regular,43,Female,2021-01-05,2.51
372,Customer_372,Delhi,Premium,58,Female,2021-01-06,3.26
373,Customer_373,Hyderabad,First-time buyer,52,Female,2021-01-07,4.25
374,Customer_374,Delhi,First-time buyer,37,Female,2021-01-08,2.64
375,Customer_375,Mumbai,Premium,24,Male,2021-01-09,3.92
376,Customer_376,Chennai,First-time buyer,39,Male,2021-01-10,4.17
377,Customer_377,Bangalore,First-time buyer,35,Male,2021-01-11,4.09
378,Customer_378,Bangalore,First-time buyer,19,Female,2021-01-12,3.11
379,Customer_379,Hyderabad,Premium,63,Female,2021-01-13,3.04
380,Customer_380,Bangalore,Regular,32,Male,2021-01-14,1.98
381,Customer_381,Mumbai,Premium,33,Other,2021-01-15,4.76
382,Customer_382,Hyderabad,Regular,34,Female,2021-01-16,2.06
383,Customer_383,Chennai,First-time buyer,18,Male,2021-01-17,2.58
384,Customer_384,Hyderabad,Regular,34,Female,2021-01-18,4.69
385,Customer_385,Bangalore,First-time buyer,58,Male,2021-01-19,4.97
386,Customer_386,Bangalore,First-time buyer,48,Male,2021-01-20,3.31
387,Customer_387,Bangalore,First-time buyer,69,Other,2021-01-21,1.89
388,Customer_388,Bangalore,Premium,21,Male,2021-01-22,4.46
389,Customer_389,Bangalore,Regular,65,Female,2021-01-23,4.39
390,Customer_390,Chennai,Premium,37,Female,2021-01-24,4.25
391,Customer_391,Chennai,Regular,30,Female,2021-01-25,2.73
392,Customer_392,Chennai,First-time buyer,40,Female,2021-01-26,4.36
393,Customer_393,Bangalore,First-time buyer,66,Other,2021-01-27,2.44
394,Customer_394,Delhi,Regular,51,Other,2021-01-28,2.71
395,Customer_395,Delhi,Premium,68,Male,2021-01-29,3.31
396,Customer_396,Hyderabad,First-time buyer,29,Male,2021-01-30,3.51
397,Customer_397,Delhi,First-time buyer,27,Male,2021-01-31,3.21
398,Customer_398,Delhi,Premium,44,Male,2021-02-01,3.29
